GEOID,NAME,svi_cdc,dom_ses,dom_household,dom_minority,dom_housing,pca_sovi
17031822701,Census Tract 8227.01; Cook County; Illinois,0.62434341205032,0.4084400904295403,0.7045968349660889,0.6281085154483799,0.5987189148455162,0.42364271688189875
17031822702,Census Tract 8227.02; Cook County; Illinois,0.31933348046788784,0.42150213514192414,0.5940090429540317,0.15599095704596835,0.3004898266767144,0.30774790067920343
17031822801,Census Tract 8228.01; Cook County; Illinois,0.2620613551092474,0.30997236875156997,0.4076865109269028,0.1627731725697061,0.4285983421250942,0.2783514372594305
17031822802,Census Tract 8228.02; Cook County; Illinois,0.38911939969101744,0.418487817131374,0.6347023360964582,0.4506405425772419,0.16672946495855312,0.2993638696627621
17031822900,Census Tract 8229; Cook County; Illinois,0.27058044581770024,0.4981160512434062,0.35342878673700073,0.12622456669178597,0.35550113036925396,0.2724078503275838
17031823001,Census Tract 8230.01; Cook County; Illinois,0.5318914146987419,0.5136900276312484,0.4777694046721929,0.4683496608892238,0.6169932177844762,0.3602941076488946
17031823002,Census Tract 8230.02; Cook County; Illinois,0.3930258221143235,0.4539060537553379,0.36812358703843256,0.5195930670685758,0.34005275056518464,0.34787885472939917
17031823101,Census Tract 8231.01; Cook County; Illinois,0.5243654822335024,0.6345139412207987,0.4917106254709872,0.40768651092690283,0.5214770158251696,0.35748458722928883
17031823102,Census Tract 8231.02; Cook County; Illinois,0.44193334804678874,0.6488319517709118,0.7560286360211002,0.11567445365486059,0.300301431801055,0.4498804838530285
17031823200,Census Tract 8232; Cook County; Illinois,0.3575369675568307,0.5149459934689776,0.5489826676714393,0.15825169555388094,0.3585154483798041,0.2895489002726693
17031823302,Census Tract 8233.02; Cook County; Illinois,0.49750606930037516,0.5337854810349159,0.6720045214770158,0.24340617935192163,0.5297663903541824,0.4165931858320956
17031823303,Census Tract 8233.03; Cook County; Illinois,0.37563451776649737,0.4873147450389349,0.6959306706857573,0.17897513187641295,0.2699698568198945,0.4332771342130939
17031823304,Census Tract 8233.04; Cook County; Illinois,0.6058044581770028,0.5621703089675961,0.6045591559909571,0.5388093443858326,0.5815749811605124,0.410074301938698
17031823400,Census Tract 8234; Cook County; Illinois,0.6273449569631427,0.7493092187892489,0.4487565938206481,0.6782215523737755,0.47211755840241143,0.4516315651374842
17031823500,Census Tract 8235; Cook County; Illinois,0.5964908408739793,0.6189399648329565,0.6011680482290882,0.627731725697061,0.41277317256970614,0.48269854862951167
17031823602,Census Tract 8236.02; Cook County; Illinois,0.3346943279629221,0.3627229339361969,0.38470233609645815,0.30896759608138663,0.45930670685757347,0.14732997100099376
17031823603,Census Tract 8236.03; Cook County; Illinois,0.8145001103509157,0.8749058025621703,0.5585908063300679,0.9529012810851545,0.4945365486058779,0.6623556232187799
17031823604,Census Tract 8236.04; Cook County; Illinois,0.20077245641138822,0.2815875408188897,0.524679728711379,0.3161266013564431,0.012245666917859834,0.2443068507056629
17031823605,Census Tract 8236.05; Cook County; Illinois,0.18472743323769583,0.15548857071087666,0.49133383571966843,0.3327053504144687,0.10945742275810097,0.22759181136270726
17031823702,Census Tract 8237.02; Cook County; Illinois,0.37139704259545353,0.5249937201708114,0.4958553127354936,0.09269027882441598,0.5065938206480785,0.2904882917159571
17031823703,Census Tract 8237.03; Cook County; Illinois,0.6761200617965127,0.6819894498869631,0.7125094197437829,0.5406932931424265,0.5519969856819894,0.5360877721563134
17031823704,Census Tract 8237.04; Cook County; Illinois,0.439527698079894,0.38859583019341876,0.6215146948003014,0.5655614167294649,0.23831951770911833,0.3857261527819988
17031823705,Census Tract 8237.05; Cook County; Illinois,0.45753696755683065,0.30419492589801556,0.6250941974378297,0.4529012810851545,0.48304446119065564,0.38242941688667575
17031823801,Census Tract 8238.01; Cook County; Illinois,0.34078569852129775,0.2760612911328812,0.4544084400904295,0.4231348907309721,0.3794272795779955,0.20348132259843513
17031823803,Census Tract 8238.03; Cook County; Illinois,0.42507172809534316,0.46370258728962577,0.6017332328560663,0.3628485305199699,0.3445742275810098,0.29878998880996416
17031823805,Census Tract 8238.05; Cook County; Illinois,0.3996248068858971,0.32931424265259984,0.521665410700829,0.49321778447626224,0.35625470987189145,0.2550821355142276
17031823806,Census Tract 8238.06; Cook County; Illinois,0.30646656367247843,0.5079125847776941,0.34287867370007535,0.07648831951770912,0.5081009796533534,0.26549224738182764
17031823901,Census Tract 8239.01; Cook County; Illinois,0.06431251379386449,0.18663652348656115,0.4706103993971364,0.021477015825169556,0.06763376036171817,0.16038363888631638
17031823903,Census Tract 8239.03; Cook County; Illinois,0.18993599646877066,0.16352675207234363,0.45553880934438584,0.25470987189148453,0.23003014318010548,0.16451026980815045
17031823904,Census Tract 8239.04; Cook County; Illinois,0.04597219156919005,0.14443607133885958,0.3960060286360211,0.009796533534287867,0.1439336850037679,0.12409309620007032
17031824003,Census Tract 8240.03; Cook County; Illinois,0.2413153829176782,0.19291635267520724,0.5727204220045214,0.31989449886963073,0.16446872645064056,0.25432800603490613
17031824004,Census Tract 8240.04; Cook County; Illinois,0.17689251820790114,0.24114544084400905,0.37226827430293896,0.0037678975131876413,0.4495101733232856,0.15618304588919382
17031824005,Census Tract 8240.05; Cook County; Illinois,0.24614875303465011,0.2991710625470987,0.6333835719668425,0.27581009796533534,0.055388093443858324,0.28401904518527715
17031824006,Census Tract 8240.06; Cook County; Illinois,0.10545133524608254,0.16729464958553128,0.6584400904295403,0.012434061793519217,0.025244913338357197,0.3021823340575714
